	tau	loglike	best_alpha
0	1.0	-1.428690285298546	1.312518591707897
1	1.125335582600765	-1.4251999364120116	1.2993928522888274
2	1.2663801734674032	-1.4225891539701454	1.3212190299999023
3	1.425102670302998	-1.4206052188074119	1.3348593876313049
4	1.6037187437513303	-1.4179130846032468	1.335377939728274
5	1.8047217668271702	-1.4172695864981126	1.3277602192323494
6	2.0309176209047357	-1.415401076838157	1.3450905060387974
7	2.2854638641349903	-1.413950494954322	1.3389555961570165
8	2.571913809059345	-1.4131495391443993	1.3483787652616948
9	2.8942661247167507	-1.4121344562513045	1.3579379414972792
10	3.257020655659783	-1.4115900122392708	1.3485763605584562
11	3.665241237079628	-1.410401300844785	1.3498203346858844
12	4.1246263829013525	-1.4102650770654506	1.34690748739821
13	4.641588833612778	-1.4095234677955306	1.3242869691201427
14	5.223345074266842	-1.4091324209963039	1.3377606032451745
15	5.878016072274912	-1.4086744260199837	1.350452389079048
16	6.614740641230149	-1.4081065941101318	1.3540907268402704
17	7.443803013251689	-1.408154516749114	1.3531848812211231
18	8.376776400682918	-1.4081104418108144	1.3279798967942806
19	9.426684551178852	-1.4080291596912526	1.3671363535801848
20	10.608183551394482	-1.4073979107554768	1.3423996757448728
21	11.937766417144363	-1.4075239982993295	1.3534521376774162
22	13.433993325989	-1.406897793956929	1.343291062645928
23	15.117750706156622	-1.407922190183637	1.3291634584910321
24	17.012542798525892	-1.407450363831485	1.3518168623579847
25	19.144819761699576	-1.407255290188768	1.3371708669819171
26	21.544346900318832	-1.407081940033363	1.341682272725949
27	24.244620170823282	-1.4075017346173904	1.3475741354445132
28	27.28333376486768	-1.4083877950852448	1.3498383538681038
29	30.702906297578497	-1.4068028786381588	1.3450738537820301
30	34.55107294592218	-1.4074683763936178	1.3776421940739045
31	38.881551803080875	-1.4068303630087575	1.3577060367660019
32	43.75479375074185	-1.4043872622338498	1.3645943590286387
33	49.23882631706739	-1.4070496647596555	1.3587988201020396
34	55.41020330009492	-1.4079239456207584	1.3821854026706304
35	62.355073412739124	-1.4071475964926423	1.3356901529711334
36	70.17038286703826	-1.407261727738672	1.3497048426846
37	78.96522868499724	-1.406597488823727	1.3511628922880243
38	88.86238162743403	-1.407310762407561	1.3391435334519317
39	100.0	-1.4062627413426454	1.3468245064234232
